JLFDPF;Droit privé français
JLFSEG;Licence Sciences Economie et Gestion
LEANG;Licence Etudes Anglaises
LEARB;Licence Etudes Arabes
LEFRA;Licence Etudes Françaises
LFARABE;Licence en Etudes arabes
LFDPF;Licence Droit Priv FR
LFENGLI;Licences en étude anglaises
LFFRANC;Licence en études françaises
LFGEOGR;Géographie
LFISLAM;Licences Etudes islamiques
LFPHILO;Licence en Philosophie
LFSOCIO;Licence en sociologie
LFSOL3;3ème année en sociologie
LGGEO;Licence Géographie
LGHIC;Licence Histoire et Civilisation
LGPHI;Licence Philosophie
LGSEG;Licence Sciences Economie et Gestion
LGSMA;Licence Sc. Math, Informatique et Applications
LGSMC;Licence Sciences de la  Matière
LGSMI;Licence Sc. Math, Infor et Applicat
LGSMP;Licence Sciences de la Matière
LGSOC;Licence Sociologie
LGSVI;Licence Sciences de la Vie et de la Terre
